frame	kind	x	y	w	h	area
120	VEL-HI	512	256	128	128	10
120	VEL-HI	544	64	96	96	5
120	VEL-LO	224	768	160	192	13
121	PLANT	347	401	373	140	15880
121	PLANT	51	559	76	94	3559
121	PLANT	239	527	62	56	1875
121	VEL-HI	512	288	96	64	5
122	PLANT	357	387	363	154	15684
122	PLANT	61	559	76	92	3498
122	PLANT	249	527	63	54	1892
122	VEL-HI	544	704	64	128	6
122	VEL-HI	128	864	64	96	4
123	PLANT	367	387	353	162	15520
123	PLANT	71	557	74	92	3448
123	PLANT	259	525	64	56	1916
123	VEL-HI	544	1152	128	96	5
124	PLANT	381	403	339	144	14029
124	PLANT	80	557	77	90	3424
124	PLANT	271	525	62	54	1919
124	VEL-HI	0	992	96	96	6
124	VEL-HI	448	608	64	64	4
125	PLANT	393	403	296	138	12255
125	PLANT	91	555	76	90	3383
125	PLANT	281	525	64	54	1909
125	VEL-HI	320	1184	96	64	4
126	PLANT	407	403	296	138	12447
126	PLANT	103	553	74	90	3501
126	PLANT	293	523	64	54	1876
126	VEL-HI	128	1152	352	128	18
126	VEL-HI	0	992	96	96	7
127	PLANT	417	403	300	142	12940
127	PLANT	115	549	74	93	3433
127	PLANT	303	521	63	55	1925
127	VEL-HI	352	1152	96	96	6
127	VEL-HI	96	960	64	96	4
128	PLANT	429	403	291	136	12964
128	PLANT	125	547	74	94	3419
128	PLANT	315	521	62	54	1930
128	VEL-HI	128	1152	128	128	9
128	VEL-HI	32	864	64	160	7
129	PLANT	443	405	277	132	12591
129	PLANT	136	547	75	92	3381
129	PLANT	325	519	62	56	1871
129	VEL-HI	96	1216	96	64	5
129	VEL-HI	0	960	64	64	4
130	PLANT	453	405	267	136	11896
130	PLANT	148	545	73	92	3350
130	PLANT	335	519	64	54	1680
130	VEL-HI	0	864	64	64	4
131	PLANT	465	405	255	136	10809
131	PLANT	161	545	74	92	3443
131	PLANT	346	519	63	54	1704
131	VEL-HI	96	1184	64	64	4
132	PLANT	479	405	241	136	9493
132	PLANT	171	541	72	96	3320
132	PLANT	357	517	62	56	1684
132	VEL-HI	64	864	128	96	5
132	VEL-HI	608	992	96	96	5
133	PLANT	493	405	184	132	7399
133	PLANT	181	539	72	96	3282
133	PLANT	367	517	62	55	1691
133	VEL-HI	0	864	96	64	4
133	VEL-HI	544	1088	64	96	4
134	PLANT	499	405	190	118	7442
134	PLANT	191	539	72	95	3236
134	PLANT	377	517	62	56	1689
135	PLANT	507	407	196	120	7799
135	PLANT	199	541	72	92	3131
135	PLANT	387	517	60	56	1713
135	VEL-HI	416	1184	96	64	6
136	PLANT	519	407	190	120	8241
136	PLANT	207	539	72	94	3195
136	PLANT	395	517	62	56	1722
137	PLANT	529	407	191	130	8492
137	PLANT	215	539	72	94	3193
137	PLANT	403	517	62	56	1714
137	VEL-HI	0	992	128	64	5
138	PLANT	537	407	183	130	8291
138	PLANT	221	537	72	94	3289
138	PLANT	413	517	62	56	1778
139	PLANT	547	407	173	122	8092
139	PLANT	227	537	74	94	3313
139	PLANT	421	517	64	56	1768
139	VEL-LO	0	480	288	224	33
140	PLANT	559	405	161	124	7552
140	PLANT	233	535	76	96	3404
140	PLANT	431	515	64	57	1798
140	VEL-LO	0	480	320	352	44
141	PLANT	571	403	149	122	6500
141	PLANT	241	533	74	97	3439
141	PLANT	439	515	63	56	1838
141	VEL-HI	608	640	64	64	4
141	VEL-LO	0	512	320	320	43
142	PLANT	585	417	94	104	4802
142	PLANT	245	529	78	100	3682
142	PLANT	447	511	68	59	1960
142	VEL-LO	0	512	352	448	65
143	PLANT	601	409	96	110	5178
143	PLANT	249	525	80	102	3897
143	PLANT	457	509	68	58	2028
143	VEL-HI	320	1120	128	128	6
143	VEL-HI	544	928	96	96	5
143	VEL-LO	0	448	384	416	83
144	PLANT	613	401	102	114	5759
144	PLANT	253	523	80	104	4166
144	PLANT	467	503	72	62	2190
144	VEL-HI	544	0	160	160	11
144	VEL-HI	128	96	96	64	5
144	VEL-LO	32	448	320	416	75
145	PLANT	629	397	91	116	5194
145	PLANT	253	519	84	106	4479
145	PLANT	479	499	74	64	2365
145	VEL-HI	512	0	160	128	13
145	VEL-HI	608	1184	96	96	6
145	VEL-LO	32	480	352	256	54
146	PLANT	255	511	88	114	5072
146	PLANT	649	421	71	102	3733
146	PLANT	489	493	80	66	2717
146	VEL-HI	576	0	96	160	9
146	VEL-HI	224	64	128	64	5
146	VEL-LO	32	512	352	224	44
147	PLANT	257	501	94	123	5609
147	PLANT	673	411	47	102	3237
147	PLANT	503	485	84	70	3037
147	VEL-HI	416	0	288	224	23
147	VEL-HI	544	1120	128	128	8
147	VEL-LO	64	512	352	256	50
148	PLANT	265	493	94	128	6044
148	PLANT	517	477	88	76	3362
148	PLANT	695	399	25	88	1444
148	VEL-HI	608	128	96	96	6
148	VEL-HI	64	32	64	64	4
148	VEL-LO	64	544	352	256	39
149	PLANT	267	483	100	138	6933
149	PLANT	534	469	93	80	3760
149	VEL-HI	416	32	288	160	18
149	VEL-HI	192	0	192	96	10
149	VEL-LO	64	480	352	256	38
150	PLANT	269	475	110	144	7668
150	PLANT	551	459	100	84	4235
150	VEL-HI	480	32	128	64	7
150	VEL-HI	576	128	96	96	6
150	VEL-LO	96	544	320	192	35
151	PLANT	273	467	112	154	8511
151	PLANT	569	449	108	90	4772
151	VEL-HI	384	96	320	128	16
151	VEL-HI	0	32	192	160	13
151	VEL-LO	96	480	320	224	37
152	PLANT	273	459	118	161	9966
152	PLANT	591	437	114	96	5414
152	VEL-HI	384	96	128	64	6
152	VEL-HI	608	960	64	128	6
152	VEL-LO	96	512	288	192	32
153	PLANT	265	447	134	172	11202
153	PLANT	611	425	109	102	5993
153	VEL-HI	512	64	160	64	8
153	VEL-HI	640	992	64	64	4
153	VEL-LO	128	480	288	288	35
154	PLANT	259	433	142	185	12967
154	PLANT	635	411	85	110	4888
154	VEL-HI	608	896	96	160	9
154	VEL-HI	224	0	96	96	4
154	VEL-LO	160	512	256	192	29
155	PLANT	257	417	154	201	15571
155	PLANT	663	411	57	89	2424
155	VEL-HI	544	192	128	160	10
155	VEL-HI	608	832	96	224	9
155	VEL-LO	128	512	288	192	34
156	PLANT	255	401	172	216	17653
156	VEL-HI	480	160	192	128	11
156	VEL-HI	128	32	96	160	8
156	VEL-LO	128	480	288	256	32
157	PLANT	255	387	188	232	19733
157	VEL-HI	384	96	224	128	12
157	VEL-HI	0	96	160	128	10
157	VEL-LO	128	512	288	160	21
158	PLANT	261	379	194	241	21755
158	VEL-HI	96	64	128	128	7
158	VEL-HI	576	1024	96	64	4
158	VEL-LO	96	480	320	256	39
159	PLANT	259	367	210	253	24571
159	VEL-HI	64	32	128	160	11
159	VEL-HI	576	1056	128	96	8
159	VEL-LO	192	416	224	320	34
160	PLANT	257	357	226	267	28146
160	VEL-HI	0	0	224	64	13
160	VEL-HI	576	992	128	192	10
160	VEL-LO	128	512	288	256	35
161	PLANT	259	333	234	292	31829
161	VEL-HI	544	0	160	160	15
161	VEL-HI	256	0	96	64	4
161	VEL-LO	192	448	256	320	40
162	PLANT	259	319	240	309	34433
162	VEL-HI	576	928	128	288	20
162	VEL-HI	384	1120	128	96	6
162	VEL-LO	64	384	352	320	53
163	PLANT	255	309	256	322	37275
163	VEL-HI	448	1024	256	224	25
163	VEL-HI	352	1120	64	96	4
163	VEL-LO	96	352	320	352	57
164	PLANT	259	307	264	333	40408
164	VEL-HI	384	1184	160	96	10
164	VEL-HI	640	1056	64	96	5
164	VEL-LO	32	288	352	352	60
165	PLANT	267	307	266	340	42251
165	VEL-HI	512	1184	192	96	11
165	VEL-HI	0	928	64	96	4
165	VEL-LO	64	288	288	352	54
166	PLANT	267	307	276	340	44328
166	VEL-HI	192	864	64	96	4
166	VEL-LO	0	192	416	512	84
167	PLANT	263	301	286	354	46713
167	VEL-HI	160	608	96	96	6
167	VEL-LO	32	224	384	448	75
168	PLANT	265	291	292	371	48186
168	VEL-HI	640	1056	64	64	4
168	VEL-LO	32	224	352	352	68
169	PLANT	279	285	294	384	50835
169	VEL-HI	192	608	64	96	5
169	VEL-LO	32	256	352	384	76
170	PLANT	281	287	306	389	52950
170	VEL-HI	448	1120	64	64	4
170	VEL-LO	32	192	384	384	75
171	PLANT	291	291	304	393	55532
171	VEL-HI	32	896	160	96	6
171	VEL-LO	32	192	384	448	83
172	PLANT	309	289	300	398	56280
