frame	time	camMag	camDx	camDy	meanMag	maxMag	hiFrac	loFrac	localEnergy	plantArea	plantN	plantCx	plantCy	shadowFrac	shadowChange	shadowCx	shadowCy	luma
107	3.5702	2.000	-2.000	0.000	5.262	31.241	0.0602	0.3716	4.5384	0.02712	3	397.5	524.4	0.0162	0.00232	259.9	702.3	129.51
108	3.6036	2.000	-2.000	0.000	6.405	33.941	0.0614	0.2920	5.6239	0.02776	3	402.2	525.6	0.0154	0.00215	262.2	705.1	129.48
109	3.6370	2.000	-2.000	0.000	7.027	39.598	0.0511	0.2455	6.2751	0.02719	3	402.7	522.8	0.0203	0.00637	261.6	723.3	129.46
110	3.6703	2.000	-2.000	0.000	8.819	37.202	0.0443	0.1341	7.8810	0.02683	3	403.9	523.3	0.0153	0.00665	273.8	702.0	129.40
111	3.7037	4.000	-4.000	0.000	9.486	35.384	0.0614	0.1216	8.4553	0.02755	3	403.7	523.9	0.0172	0.00418	301.7	689.9	129.40
112	3.7371	4.000	-4.000	0.000	9.782	39.699	0.0330	0.0807	8.5815	0.02817	3	411.0	524.2	0.0206	0.00939	274.7	720.9	129.27
113	3.7704	4.000	-4.000	0.000	10.636	36.878	0.0443	0.1000	9.2311	0.02826	3	419.5	523.5	0.0220	0.00573	300.4	709.5	129.11
114	3.8038	4.000	-4.000	0.000	11.057	39.699	0.0205	0.0716	9.5028	0.02779	3	416.7	521.3	0.0163	0.00850	294.3	695.2	129.06
115	3.8372	6.000	-6.000	0.000	11.533	39.598	0.0273	0.0443	9.6788	0.02782	3	424.3	522.6	0.0159	0.00370	291.1	694.7	128.85
116	3.8705	6.000	-6.000	0.000	12.278	41.037	0.0125	0.0068	10.0645	0.02745	3	433.1	523.2	0.0156	0.00336	294.4	695.7	128.69
117	3.9039	6.000	-6.000	0.000	12.677	39.598	0.0284	0.0034	10.5551	0.02673	3	434.2	519.7	0.0278	0.01551	386.0	552.8	127.97
118	3.9373	8.000	-8.000	0.000	13.391	39.598	0.0398	0.0534	11.2086	0.02687	3	433.4	517.0	0.0322	0.01323	376.2	484.5	128.00
119	3.9706	8.000	-8.000	0.000	13.515	36.056	0.0375	0.0466	10.8672	0.02684	3	435.7	515.6	0.0317	0.01140	386.7	488.2	127.87
120	4.0040	8.000	-8.000	0.000	13.658	36.770	0.0273	0.0182	10.7318	0.02668	3	438.0	513.3	0.0267	0.01743	294.1	620.8	127.69
121	4.0374	8.000	-8.000	0.000	14.179	41.037	0.0182	0.0080	11.0620	0.02652	3	441.9	512.0	0.0290	0.01126	325.7	619.9	127.80
122	4.0707	10.000	-10.000	0.000	14.022	39.598	0.0205	0.0023	10.4070	0.02572	3	444.5	511.2	0.0275	0.01132	315.6	609.9	127.89
123	4.1041	10.000	-10.000	0.000	14.344	39.598	0.0227	0.0011	10.6841	0.02529	3	447.9	509.6	0.0300	0.01241	347.0	609.3	128.10
124	4.1375	10.000	-10.000	0.000	14.821	39.699	0.0216	0.0011	11.1159	0.02420	3	451.4	509.8	0.0304	0.01157	355.1	610.4	128.27
125	4.1708	10.000	-10.000	0.000	14.769	39.598	0.0125	0.0034	11.0293	0.02316	3	458.7	508.0	0.0292	0.01234	355.8	606.4	128.47
126	4.2042	10.000	-10.000	0.000	14.918	39.598	0.0375	0.0000	10.9305	0.02298	3	462.2	510.4	0.0310	0.01389	383.0	607.9	128.90
127	4.2376	10.000	-10.000	0.000	14.776	36.770	0.0227	0.0000	10.8046	0.02267	3	469.0	509.1	0.0323	0.01634	340.5	550.4	129.26
128	4.2709	10.000	-10.000	0.000	15.017	39.598	0.0216	0.0034	11.0971	0.02266	3	481.1	507.6	0.0292	0.01542	394.9	610.8	129.59
129	4.3043	10.000	-10.000	0.000	14.870	35.384	0.0216	0.0000	11.1494	0.02201	3	489.3	508.2	0.0298	0.01026	403.2	603.1	129.80
130	4.3377	10.000	-10.000	0.000	14.673	37.202	0.0148	0.0011	11.3795	0.02048	3	490.8	507.2	0.0253	0.01468	415.1	577.6	130.09
131	4.3710	10.000	-10.000	0.000	14.703	36.878	0.0091	0.0011	11.0385	0.01862	3	483.7	505.0	0.0302	0.01575	462.6	489.4	130.44
132	4.4044	10.000	-10.000	0.000	14.722	41.037	0.0216	0.0000	10.9406	0.01686	3	487.2	504.2	0.0349	0.01717	468.0	516.1	130.76
133	4.4378	10.000	-10.000	0.000	14.562	39.699	0.0227	0.0011	10.7245	0.01551	3	485.3	506.0	0.0339	0.01096	476.7	518.8	131.08
134	4.4711	8.000	-8.000	0.000	14.073	39.598	0.0045	0.0045	10.8184	0.01480	3	486.5	507.2	0.0318	0.01050	471.5	530.5	131.42
135	4.5045	8.000	-8.000	0.000	13.839	38.210	0.0148	0.0000	10.9072	0.01494	3	495.5	511.5	0.0330	0.00893	472.6	531.3	131.71
136	4.5379	8.000	-8.000	0.000	13.930	36.878	0.0114	0.0000	11.3191	0.01538	3	507.3	509.8	0.0350	0.01330	498.5	497.2	131.99
137	4.5712	8.000	-8.000	0.000	14.233	39.699	0.0170	0.0068	11.9999	0.01563	3	518.3	509.5	0.0318	0.01382	486.3	539.5	132.17
138	4.6046	8.000	-8.000	0.000	14.887	39.598	0.0091	0.0114	13.2184	0.01535	3	520.2	511.5	0.0337	0.01665	488.6	502.0	132.43
139	4.6380	8.000	-8.000	0.000	14.243	41.037	0.0057	0.0432	12.8092	0.01501	3	521.8	514.5	0.0407	0.02383	460.2	433.8	132.66
140	4.6713	6.325	-6.000	2.000	14.562	38.210	0.0148	0.0534	13.2088	0.01464	3	521.8	518.8	0.0454	0.01988	423.1	385.1	132.57
141	4.7047	8.246	-8.000	2.000	15.289	39.699	0.0091	0.0511	13.9169	0.01333	3	513.5	518.5	0.0235	0.02940	432.0	642.9	132.52
142	4.7381	6.325	-6.000	2.000	15.102	39.598	0.0091	0.0784	13.9528	0.01205	3	491.2	528.8	0.0264	0.01342	450.5	750.6	132.85
143	4.7714	6.325	-6.000	2.000	15.677	39.598	0.0182	0.0989	14.6265	0.01247	3	497.6	530.0	0.0280	0.00657	459.1	751.6	133.46
144	4.8048	4.472	-4.000	2.000	16.529	39.699	0.0250	0.0864	15.8255	0.01364	3	510.9	526.3	0.0276	0.00832	455.1	756.1	133.79
145	4.8382	7.211	-6.000	4.000	17.347	39.699	0.0295	0.0659	16.5423	0.01350	3	506.0	524.4	0.0678	0.04581	428.8	351.9	134.08
146	4.8715	5.657	-4.000	4.000	18.279	39.699	0.0182	0.0523	17.7130	0.01297	3	481.8	529.8	0.0281	0.04955	486.7	786.3	133.45
147	4.9049	4.472	-4.000	2.000	19.080	42.426	0.0409	0.0580	18.5278	0.01340	3	478.9	532.0	0.0310	0.00934	496.6	789.8	134.24
148	4.9383	7.211	-6.000	4.000	19.009	42.426	0.0261	0.0443	18.3718	0.01230	3	450.3	537.6	0.0379	0.01554	531.1	724.8	134.95
149	4.9716	5.657	-4.000	4.000	19.833	42.426	0.0443	0.0432	19.1388	0.01228	2	424.2	549.9	0.0379	0.01731	519.1	801.5	134.72
150	5.0050	6.000	-6.000	0.000	19.939	42.426	0.0307	0.0398	19.4994	0.01356	2	434.7	539.4	0.0390	0.01470	532.5	818.4	135.27
151	5.0384	4.472	-4.000	2.000	19.648	42.426	0.0489	0.0420	19.1665	0.01499	2	443.8	526.9	0.0700	0.04685	466.7	505.0	135.76
152	5.0717	4.472	-4.000	2.000	20.282	42.426	0.0341	0.0364	19.8388	0.01737	2	452.7	520.1	0.0416	0.04781	553.7	849.6	135.67
153	5.1051	5.657	-4.000	4.000	20.010	41.037	0.0205	0.0398	19.6245	0.01934	2	460.8	510.7	0.0418	0.01915	558.9	860.6	136.23
154	5.1385	2.828	-2.000	2.000	20.780	39.699	0.0227	0.0330	20.5059	0.02016	2	442.0	507.2	0.0400	0.02336	558.7	876.3	135.54
155	5.1718	5.657	-4.000	4.000	20.647	42.426	0.0364	0.0386	20.3764	0.02044	2	401.1	504.4	0.0413	0.02866	586.2	866.8	134.39
156	5.2052	4.472	-4.000	2.000	20.263	42.426	0.0375	0.0364	19.9485	0.02095	1	379.0	501.6	0.0346	0.02457	598.6	888.7	134.11
157	5.2386	4.472	-4.000	2.000	20.869	41.037	0.0386	0.0250	20.6075	0.02143	1	358.0	500.1	0.0389	0.03413	564.0	761.9	133.04
158	5.2719	4.472	-4.000	2.000	20.419	42.426	0.0455	0.0466	20.0760	0.02361	1	367.3	497.4	0.0310	0.02993	516.1	933.7	132.15
159	5.3053	6.325	-6.000	2.000	20.153	41.037	0.0500	0.0443	19.5279	0.02666	1	377.3	491.7	0.0356	0.02252	484.4	888.1	131.50
160	5.3387	4.472	-4.000	2.000	19.971	42.426	0.0477	0.0398	19.7020	0.03054	1	384.7	482.8	0.0380	0.02297	464.7	823.9	130.47
161	5.3720	4.472	-4.000	2.000	19.326	39.699	0.0318	0.0455	18.9491	0.03454	1	386.8	473.2	0.0443	0.02611	464.5	819.6	128.97
162	5.4054	2.000	-2.000	0.000	18.006	38.419	0.0409	0.0602	17.8208	0.03736	1	390.5	467.9	0.0452	0.02021	464.7	818.8	127.97
163	5.4388	6.000	-6.000	0.000	17.257	39.598	0.0330	0.0648	16.7355	0.04045	1	396.1	467.4	0.0390	0.02271	462.2	840.8	127.10
164	5.4721	2.828	-2.000	-2.000	16.470	41.037	0.0250	0.0716	16.2250	0.04385	1	403.2	468.1	0.0401	0.02093	425.9	780.8	126.58
165	5.5055	4.472	-2.000	-4.000	16.009	38.210	0.0227	0.0614	15.5581	0.04585	1	412.4	471.3	0.0273	0.02205	291.1	583.4	126.25
166	5.5389	2.828	-2.000	-2.000	14.877	37.202	0.0102	0.0955	14.5579	0.04810	1	419.2	470.9	0.0294	0.00745	294.8	587.4	126.28
167	5.5722	2.828	-2.000	-2.000	14.776	41.037	0.0091	0.0920	14.5224	0.05069	1	422.7	473.0	0.0303	0.00745	295.8	591.3	126.21
168	5.6056	2.828	-2.000	-2.000	14.956	39.598	0.0080	0.0818	14.7050	0.05229	1	428.8	474.7	0.0313	0.00741	299.3	595.2	126.03
169	5.6390	2.828	-2.000	-2.000	14.018	39.598	0.0125	0.0864	13.7656	0.05516	1	439.0	476.3	0.0322	0.00901	298.8	599.7	126.00
